114.119.139.220 - - [28/Oct/2022:17:06:03 -0700] "GET /videos HTTP/1.1" 200 4981 "https://regusciair.com/photos_2" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" "regusciair.com"
27.76.221.152 - - [28/Oct/2022:17:12:58 -0700] "GET /contact_us/ HTTP/1.1" 200 37527 "https://regusciair.com/contact_us/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36" "regusciair.com"
27.76.221.152 - - [28/Oct/2022:17:13:00 -0700] "POST /contact_us/ HTTP/1.1" 200 37527 "https://regusciair.com/contact_us/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36" "regusciair.com"
207.191.142.134 - - [28/Oct/2022:17:15:39 -0700] "GET /contacto/ HTTP/1.1" 200 37697 "https://regusciair.com/contacto/" "Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36" "regusciair.com"
207.191.142.134 - - [28/Oct/2022:17:15:40 -0700] "POST /contacto/ HTTP/1.1" 200 37697 "https://regusciair.com/contacto/" "Mozilla/5.0 (Windows NT 6.1; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36" "regusciair.com"
157.55.39.171 - - [28/Oct/2022:17:27:05 -0700] "GET / HTTP/1.1" 200 26600 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "regusciair.com"
69.41.207.117 - - [28/Oct/2022:17:28:41 -0700] "GET / HTTP/1.1" 200 134620 "https://regusciair.com/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "regusciair.com"
69.41.207.117 - - [28/Oct/2022:17:28:43 -0700] "GET /contact_us HTTP/1.1" 200 37527 "https://regusciair.com/contact_us" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "regusciair.com"
69.41.207.117 - - [28/Oct/2022:17:28:44 -0700] "POST /contact_us HTTP/1.1" 200 37527 "https://regusciair.com/contact_us" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "regusciair.com"
14.99.151.194 - - [28/Oct/2022:18:12:30 -0700] "GET /contacto/ HTTP/1.1" 200 37697 "https://regusciair.com/contacto/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36" "regusciair.com"
14.99.151.194 - - [28/Oct/2022:18:12:33 -0700] "POST /contacto/ HTTP/1.1" 200 37697 "https://regusciair.com/contacto/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36" "regusciair.com"
185.191.171.23 - - [28/Oct/2022:18:16:30 -0700] "GET /robots.txt HTTP/1.1" 200 57 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" "www.regusciair.com"
185.191.171.7 - - [28/Oct/2022:18:16:31 -0700] "GET /noticias HTTP/1.1" 200 15224 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" "www.regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:20 -0700] "GET /about.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:21 -0700] "GET /upload.php?mr=exe3 HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:23 -0700] "GET /2index.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:24 -0700] "GET /C.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:25 -0700] "GET /c.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:26 -0700] "GET /01.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:27 -0700] "GET /1.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:29 -0700] "GET /02.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:30 -0700] "GET /wp.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:31 -0700] "GET /fw.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:32 -0700] "GET /alfa.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:34 -0700] "GET /mini.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:35 -0700] "GET /x.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:36 -0700] "GET /404.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:37 -0700] "GET /403.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:39 -0700] "GET /wso.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:40 -0700] "GET /admin.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
212.192.246.33 - - [28/Oct/2022:18:24:41 -0700] "GET /wp-22.php HTTP/1.1" 404 88 "-" "python-requests/2.27.1" "regusciair.com"
